# cmb_I cmb_Q cmb_U pow_I pow_Q pow_U genmbb_I genmbb_Q genmbb_U sync_beta gdust_beta gdust_dbeta gdust_Td1 gdust_Td2 gdust_fI gdust_fQ
4.768719e+01 4.122838e-01 5.165188e-01 2.420057e+01 1.111828e+01 9.689219e+00 4.090535e+02 8.675008e+01 6.242508e+01 -2.924223e+00 1.594262e+00 6.210092e-02 1.337850e+01 2.708828e+01 6.383997e-01 1.046757e+00
4.768719e+01 4.122838e-01 5.165188e-01 2.420057e+01 1.111828e+01 9.689219e+00 4.090535e+02 8.675008e+01 6.242508e+01 -2.924223e+00 1.594262e+00 6.210092e-02 1.337850e+01 2.708828e+01 6.383997e-01 1.046757e+00
4.768719e+01 4.122838e-01 5.165188e-01 2.420057e+01 1.111828e+01 9.689219e+00 4.090535e+02 8.675008e+01 6.242508e+01 -2.924223e+00 1.594262e+00 6.210092e-02 1.337850e+01 2.708828e+01 6.383997e-01 1.046757e+00
4.724868e+01 4.120784e-01 5.251498e-01 2.263215e+01 1.084971e+01 9.523712e+00 4.020660e+02 8.421666e+01 6.336428e+01 -2.935766e+00 1.613005e+00 5.913766e-02 1.314755e+01 2.729719e+01 6.547206e-01 1.025687e+00
4.724868e+01 4.120784e-01 5.251498e-01 2.263215e+01 1.084971e+01 9.523712e+00 4.020660e+02 8.421666e+01 6.336428e+01 -2.935766e+00 1.613005e+00 5.913766e-02 1.314755e+01 2.729719e+01 6.547206e-01 1.025687e+00
4.724868e+01 4.120784e-01 5.251498e-01 2.263215e+01 1.084971e+01 9.523712e+00 4.020660e+02 8.421666e+01 6.336428e+01 -2.935766e+00 1.613005e+00 5.913766e-02 1.314755e+01 2.729719e+01 6.547206e-01 1.025687e+00
4.724868e+01 4.120784e-01 5.251498e-01 2.263215e+01 1.084971e+01 9.523712e+00 4.020660e+02 8.421666e+01 6.336428e+01 -2.935766e+00 1.613005e+00 5.913766e-02 1.314755e+01 2.729719e+01 6.547206e-01 1.025687e+00
4.724868e+01 4.120784e-01 5.251498e-01 2.263215e+01 1.084971e+01 9.523712e+00 4.020660e+02 8.421666e+01 6.336428e+01 -2.935766e+00 1.613005e+00 5.913766e-02 1.314755e+01 2.729719e+01 6.547206e-01 1.025687e+00
4.559336e+01 4.150099e-01 5.292695e-01 2.100292e+01 1.098324e+01 9.733226e+00 3.948883e+02 8.235435e+01 6.433712e+01 -2.934394e+00 1.607940e+00 5.869165e-02 1.306002e+01 2.673870e+01 6.801049e-01 1.011862e+00
4.559336e+01 4.150099e-01 5.292695e-01 2.100292e+01 1.098324e+01 9.733226e+00 3.948883e+02 8.235435e+01 6.433712e+01 -2.934394e+00 1.607940e+00 5.869165e-02 1.306002e+01 2.673870e+01 6.801049e-01 1.011862e+00
4.559336e+01 4.150099e-01 5.292695e-01 2.100292e+01 1.098324e+01 9.733226e+00 3.948883e+02 8.235435e+01 6.433712e+01 -2.934394e+00 1.607940e+00 5.869165e-02 1.306002e+01 2.673870e+01 6.801049e-01 1.011862e+00
4.559336e+01 4.150099e-01 5.292695e-01 2.100292e+01 1.098324e+01 9.733226e+00 3.948883e+02 8.235435e+01 6.433712e+01 -2.934394e+00 1.607940e+00 5.869165e-02 1.306002e+01 2.673870e+01 6.801049e-01 1.011862e+00
4.541862e+01 4.146449e-01 5.314819e-01 2.056466e+01 1.091440e+01 9.697656e+00 3.929881e+02 8.177139e+01 6.450044e+01 -2.937608e+00 1.612703e+00 5.804612e-02 1.299471e+01 2.677936e+01 6.844804e-01 1.006178e+00
4.540515e+01 3.971131e-01 5.103610e-01 2.041067e+01 1.055897e+01 9.894831e+00 3.945470e+02 8.330392e+01 6.192303e+01 -2.940485e+00 1.581124e+00 6.753263e-02 1.265493e+01 2.712909e+01 6.819835e-01 1.026376e+00
